time,site_id,ghi_wm2,ghi_b_wm2,poa_wm2,poa2_wm2,ref_cell1_wm2,ref_cell2_wm2,temp_amb_c,temp_amb1_c,temp_amb2_c,temp_mod_avg_c,temp_mod1_c,temp_mod2_c,temp_mod3_c,temp_mod4_c,temp_mod5_c,temp_mod6_c,ref_cell1_temp_c,ref_cell2_temp_c,wind_speed_ms,wind_speed_max_ms,wind_dir_deg,precip_mm,precip_dif_mm,ws_com_status,ws_com_quality,ws_num_fails,source,quality,dhi_wm2,dni_wm2
2024-01-02 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,11,,,,,,10,,,,,,,,,,,,4.4,,,,,,,,solcast_historic,0,11,0
2024-01-02 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,17,,,,,,10,,,,,,,,,,,,4.1,,,,,,,,solcast_historic,0,17,0
2024-01-02 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,26,,,,,,10,,,,,,,,,,,,4.5,,,,,,,,solcast_historic,0,26,0
2024-01-02 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,26,,,,,,10,,,,,,,,,,,,5,,,,,,,,solcast_historic,0,26,0
2024-01-02 14:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,29,,,,,,10,,,,,,,,,,,,5.8,,,,,,,,solcast_historic,0,29,0
2024-01-02 15:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,21,,,,,,11,,,,,,,,,,,,7.3,,,,,,,,solcast_historic,0,21,0
2024-01-02 16:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,8,,,,,,12,,,,,,,,,,,,9.2,,,,,,,,solcast_historic,0,8,0
2024-01-02 17:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,12,,,,,,,,,,,,10,,,,,,,,solcast_historic,0,0,0
2024-01-02 18:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,11,,,,,,,,,,,,10.3,,,,,,,,solcast_historic,0,0,0
2024-01-02 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,11,,,,,,,,,,,,11.6,,,,,,,,solcast_historic,0,0,0
2024-01-02 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,10,,,,,,,,,,,,12.3,,,,,,,,solcast_historic,0,0,0
2024-01-02 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,9,,,,,,,,,,,,10.6,,,,,,,,solcast_historic,0,0,0
2024-01-02 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,8.6,,,,,,,,solcast_historic,0,0,0
2024-01-02 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,8,,,,,,,,,,,,7.9,,,,,,,,solcast_historic,0,0,0
2024-01-03 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,9,,,,,,,,,,,,8,,,,,,,,solcast_historic,0,0,0
2024-01-03 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,9,,,,,,,,,,,,8.3,,,,,,,,solcast_historic,0,0,0
2024-01-03 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,,,,,,9,,,,,,,,,,,,8.2,,,,,,,,solcast_historic,0,0,0
