time,site_id,p_ac_kw,p_dc_kw,p_dc_stc_kw,poa_total_wm2,t_cell_c,tier_used,fit_quality,source,quality
2024-11-22 19:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,2,3,low,physics_sdm,0
2024-11-22 20:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,2,3,low,physics_sdm,0
2024-11-22 21:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,1,3,low,physics_sdm,0
2024-11-22 22:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,1,3,low,physics_sdm,0
2024-11-22 23:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,1,3,low,physics_sdm,0
2024-11-23 00:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,0,3,low,physics_sdm,0
2024-11-23 01:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,0,3,low,physics_sdm,0
2024-11-23 02:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,1,3,low,physics_sdm,0
2024-11-23 03:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,1,3,low,physics_sdm,0
2024-11-23 04:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,1,3,low,physics_sdm,0
2024-11-23 05:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,2,3,low,physics_sdm,0
2024-11-23 06:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,2,3,low,physics_sdm,0
2024-11-23 07:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,-0,-0,28399.68,0,3,3,low,physics_sdm,0
2024-11-23 08:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,0,0,28399.68,0,5,3,low,physics_sdm,0
2024-11-23 09:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,207.7599990491927,214.74598663893866,28399.68,8.27447202769908,6.285326621644796,3,low,physics_sdm,0
2024-11-23 10:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,452.77051130080434,467.99504531806446,28399.68,17.583253058860542,7.606319070995191,3,low,physics_sdm,0
2024-11-23 11:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1125.657193244685,1163.507728565749,28399.68,42.40666914195778,8.462298935929578,3,low,physics_sdm,0
2024-11-23 12:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1291.4180140612887,1334.8423029556604,28399.68,48.61252316273208,9.676293902163176,3,low,physics_sdm,0
2024-11-23 13:00:00+00,5ab83b40-553c-5ddd-976f-71f6cb5d490f,1009.0259491712991,1042.954726563011,28399.68,38.26943312810824,9.31963562510718,3,low,physics_sdm,0
