instrument_pk,site_id,instrument_id,instrument_type,manufacturer,model,serial_number,calibration_date,calibration_due,iso_class,measurement_plane,num_channels,location_desc,latitude,longitude,height_m,column_mapping,aggregation_rule,aggregation_target,channel_columns,range_min,range_max,comms_fail_value,commissioned_date,decommissioned_date,is_active,notes,created_at,updated_at
015adb4a-5ce1-43de-b5f8-1d14eb26c5f5,9bf5ca74-bad7-4e0b-a555-ebd5b93d0de8,CT01-SMP10,pyranometer,Kipp & Zonen,SMP10,,,,secondary_standard,horizontal,4,Weather station mast CT01,,,,"{""SMP10_IRRADIANCE-GHI-B"": ""ghi_b_wm2"", ""SMP10_IRRADIANCE-GHI-F"": ""ghi_wm2"", ""SMP10_IRRADIANCE-POA-1"": ""poa_wm2"", ""SMP10_IRRADIANCE-RPOA-2"": ""poa2_wm2""}",none,,[],0,1400,FAIL,,,t,Secondary standard pyranometer. GHI-B covers bifacial rear irradiance. POA-1 and RPOA-2 are redundant tilted sensors for cross-validation.,2026-05-04 17:59:07.21748+00,2026-05-04 17:59:07.21748+00
6651baf5-c58a-4095-8007-adae0769a97d,9bf5ca74-bad7-4e0b-a555-ebd5b93d0de8,CT01-REFCELL1,reference_cell,TBC,TBC,,,,reference_cell,tilted,2,Weather station mast CT01,,,,"{""REF.CELL-1_IRRADIANCE"": ""ref_cell1_wm2"", ""REF.CELL-1_TEMPERATURE"": ""ref_cell1_temp_c""}",none,,[],0,1400,FAIL,,,t,,2026-05-04 17:59:07.86748+00,2026-05-04 17:59:07.86748+00
fadbd759-6f60-4d79-bc5f-ddd22f7dfe43,9bf5ca74-bad7-4e0b-a555-ebd5b93d0de8,CT01-REFCELL2,reference_cell,TBC,TBC,,,,reference_cell,tilted,2,Weather station mast CT01,,,,"{""REF.CELL-2_IRRADIANCE"": ""ref_cell2_wm2"", ""REF.CELL-2_TEMPERATURE"": ""ref_cell2_temp_c""}",none,,[],0,1400,FAIL,,,t,,2026-05-04 17:59:08.513544+00,2026-05-04 17:59:08.513544+00
468c0998-d9d8-49c7-9148-cbd381498549,9bf5ca74-bad7-4e0b-a555-ebd5b93d0de8,CT01-PT1000,module_temp_sensor,TBC,PT1000,,,,,,6,Distributed across array strings,,,,"{""PT1000-MODULE-1"": ""temp_mod1_c"", ""PT1000-MODULE-2"": ""temp_mod2_c"", ""PT1000-MODULE-3"": ""temp_mod3_c"", ""PT1000-MODULE-4"": ""temp_mod4_c"", ""PT1000-MODULE-5"": ""temp_mod5_c"", ""PT1000-MODULE-6"": ""temp_mod6_c""}",mean,temp_mod_avg_c,"[""temp_mod1_c"", ""temp_mod2_c"", ""temp_mod3_c"", ""temp_mod4_c"", ""temp_mod5_c"", ""temp_mod6_c""]",-40,100,FAIL,,,t,Average of all 6 channels written to temp_mod_avg_c. Individual channels stored for degradation / hot-spot analysis.,2026-05-04 17:59:09.124433+00,2026-05-04 17:59:09.124433+00
6a9bf692-1956-449a-859f-f6a4fc1f87c2,9bf5ca74-bad7-4e0b-a555-ebd5b93d0de8,CT01-AMBTEMP,thermometer,TBC,TBC,,,,,,2,Weather station mast CT01,,,,"{""AMBIENT TEMPERATURE-1"": ""temp_amb1_c"", ""AMBIENT TEMPERATURE-2"": ""temp_amb2_c""}",mean,temp_amb_c,"[""temp_amb1_c"", ""temp_amb2_c""]",-40,60,FAIL,,,t,,2026-05-04 17:59:09.65292+00,2026-05-04 17:59:09.65292+00
63e82cec-2495-4a18-9a6e-169b47adec52,9bf5ca74-bad7-4e0b-a555-ebd5b93d0de8,CT01-WIND,anemometer,TBC,TBC,,,,,,4,Weather station mast CT01,,,,"{""WD_AVG"": ""wind_dir_deg"", ""WS_AVG"": ""wind_speed_ms"", ""WS_MAX"": ""wind_speed_max_ms""}",none,,[],0,60,FAIL,,,t,Use WS_AVG (not instantaneous WS) for Faiman thermal model. WD_AVG used for soiling analysis (wind direction vs soiling rate).,2026-05-04 17:59:10.276226+00,2026-05-04 17:59:10.276226+00
23ecf96a-d4a1-48f9-8be2-eb34e66a229e,9bf5ca74-bad7-4e0b-a555-ebd5b93d0de8,CT01-RAIN,rain_gauge,TBC,TBC,,,,,,2,Weather station mast CT01,,,,"{""ABS_PRECIPITATION"": ""precip_mm"", ""DIF_PRECIPITATION"": ""precip_dif_mm""}",none,,[],0,500,FAIL,,,t,,2026-05-04 17:59:10.922073+00,2026-05-04 17:59:10.922073+00
